key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_15.keys,key_resp_15.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,base_sentence_number,version,experiment,list,numb_words,gender,sentence,question,answer,CorrAns,w1,w2,w3,w4,w5,w6,w7,w8,w9,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_16.keys,key_resp_16.rt,word1.keys,word1.rt,word2.keys,word2.rt,word3.keys,word3.rt,word4.keys,word4.rt,word5.keys,word5.rt,word6.keys,word6.rt,word7.keys,word7.rt,word8.keys,word8.rt,word9.keys,word9.rt,compquestion.keys,compquestion.corr,compquestion.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,endoftask.keys,endoftask.rt
space,10.7818,y,22.6815,space,0.9995,space,0.3144,space,0.2707,space,0.2573,space,0.2927,space,0.2651,space,0.2804,space,0.2763,space,0.2604,n,2.2148,0,0,0,0,1,NA,NA,practica,NA,NA,NA,Rita is uncomfortable because it is very hot outside.,Is it cold?,no,0,Rita,is,uncomfortable,because,it,is,very,hot,outside.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.0335,space,0.2903,space,0.3429,space,0.2953,space,0.2995,space,0.3134,space,0.2979,space,0.3815,space,0.3463,n,1.9971,0,1,1,1,1,NA,NA,practica,NA,NA,NA,Peter was running by himself in the park yesterday.,Was Peter painting the wall?,no,0,Peter,was,running,by,himself,in,the,park,yesterday.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5594,space,0.4303,space,0.3517,space,0.3646,space,0.3294,space,0.3155,space,0.3794,space,0.381,space,0.465,y,3.3111,0,2,2,2,1,NA,NA,practica,NA,NA,NA,Hannah is watching tv because she is really bored.,Is Hannah in front of a screen?,yes,1,Hannah,is,watching,tv,because,she,is,really,bored.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1_2,neutral_gender_someone,2,9,neutral,Someone called me but they stopped before I answered,Did the person try to communicate?,yes,1,Someone,called,me,but,they,stopped,before,I,answered.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,space,24.4164,space,1.2822,space,0.3005,space,0.294,space,0.2775,space,0.2972,space,0.2617,space,0.2789,space,0.2815,space,0.3265,n,0,5.4323,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34_1,inclusive_gender_they,2,9,she,Mary is sad because she lost the dog earlier.,Did mary lose something?,no,0,Mary,is,sad,because,she,lost,the,dog,earlier.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,space,0.9767,space,0.2634,space,0.2997,space,0.3295,space,0.2993,space,0.3494,space,0.3254,space,0.3773,space,0.4282,y,0,2.2491,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31_1,inclusive_gender_reflexive,2,9,himself,Troy was singing by himself in the shower yesterday.,Was Troy singing?,yes,1,Troy,was,singing,by,himself,in,the,shower,yesterday.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,space,1.362,space,0.2816,space,0.3191,space,0.2777,space,0.3319,space,0.3176,space,0.3692,space,0.3645,space,0.3615,y,0,2.4961,0,2,2,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37_2,inclusive_gender_they,2,9,they,Emily is grateful because they got nice gifts yesterday.,Did Emily get presents?,yes,1,Emily,is,grateful,because,they,got,nice,gifts,yesterday.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,space,0.6766,space,0.2668,space,0.2623,space,0.2478,space,0.3002,space,0.2794,space,0.2933,space,0.3172,space,0.901,y,0,1.7836,0,3,3,3,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,NA,filler,1and2,9,NA,The aroma of freshly brewed coffee filled the room.,Was the smell nice?,,1,The,aroma,of,freshly,brewed,coffee,filled,the,room.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,space,0.6949,space,0.2559,space,1.5917,space,0.4631,space,0.5449,space,0.5106,space,0.4649,space,0.3521,space,0.3568,y,0,1.6324,0,4,4,4,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30_2,inclusive_gender_reflexive,2,9,themself,Scott was drinking by themself at the bar earlier.,Was Scott at his apartment?,no,0,Scott,was,drinking,by,themself,at,the,bar,earlier.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,space,0.6785,space,0.2846,space,0.2813,space,0.2821,space,0.281,space,0.2955,space,0.2813,space,0.4152,space,0.2628,n,0,1.8267,0,5,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14_1,neutral_gender_someone,2,9,masculine,Someone photographed me but he quit before I spoke.,Did someone take pictures?,yes,0,Someone,photographed,me,but,he,quit,before,I,spoke.,INC_J_BEG_07,001,2023-07-20_08h42.01.525,spr_english_2023_list2,2021.1.1,Linux x86_64,59.96641881,,,space,0.5001,space,0.2299,space,0.2622,space,0.2807,space,0.9484,space,0.4152,space,0.3453,space,0.3455,space,0.5674,y,0,1.9504,0,6,6,6,1,,
